"Year","Rank","Author","Title","Contributor","Description"
2015,10,"Ken Follett","EDGE OF ETERNITY","by Ken Follett","Five interrelated families from five countries grapple with the events of the 1960s through the 1980s; Book 3 of the Century Trilogy. "
2015,11,"Donna Tartt","THE GOLDFINCH","by Donna Tartt"," A painting becomes a boy’s prize, guilt and burden."
2015,12,"Patricia Cornwell","FLESH AND BLOOD","by Patricia Cornwell","Dr. Kay Scarpetta pursues a sniper who may be a vigilante; the 22nd Scarpetta novel."
2015,13,"Anne Rice","PRINCE LESTAT","by Anne Rice","The Vampire Chronicles continue after a long hiatus."
2015,14,"Emily St John Mandel","STATION ELEVEN","by Emily St. John Mandel","A traveling theater company looks for an audience among a global pandemic’s survivors."
2015,15,"Anita Diamant","THE BOSTON GIRL","by Anita Diamant","The daughter of Jewish immigrants grows up in early-20th- century Boston; by the author of “The Red Tent.”"
2015,16,"Jan Karon","SOMEWHERE SAFE WITH SOMEBODY GOOD","by Jan Karon","The Mitford character Father Tim finds friends and family wrestling with difficulties. "
2015,17,"Mary Higgins Clark and Alafair Burke","THE CINDERELLA MURDER","by Mary Higgins Clark and Alafair Burke","A TV producer plans a show about a cold case — the killing of a student found with one shoe missing."
2015,18,"Marilynne Robinson","LILA","by Marilynne Robinson","The early life of the woman who becomes the wife of the widower and minister John Ames; a back story to ""Gilead."""
2015,19,"Richard Paul Evans","THE MISTLETOE PROMISE","by Richard Paul Evans","A divorced woman enters into a contract with a strange man to pretend to be a couple until Christmas."
2015,20,"David Mitchell","THE BONE CLOCKS","by David Mitchell","Interconnected tales in settings from England in the ’80s to the apocalyptic future revolve around a central character.   "
