title,author,cotributor,publisher,price,age_group,description
STARLIGHT ON WILLOW LAKE,Susan Wiggs,by Susan Wiggs,Mira,0,,"This novel in the Lakeshore Chronicles series brings together a young caregiver, an accident victim and the recovering woman's distant son."
THE MARTIAN,Andy Weir,by Andy Weir,Broadway,0,,"Separated from his crew, an astronaut embarks on a quest to stay alive on Mars. The basis of the movie."
THE FIFTH GOSPEL,Ian Caldwell,by Ian Caldwell,Pocket Books,0,,"Two brothers, a Greek Catholic and a Roman Catholic priest, both connected to a controversial museum exhibit about the Shroud of Turin, are at the heart of a mystery set in the Vatican in 2004."
PRIVATE VEGAS,James Patterson and Maxine Paetro,by James Patterson and Maxine Paetro,Vision,0,,"Jack Morgan, the head of an investigative firm, uncovers a murder ring in Las Vegas."
GRAY MOUNTAIN,John Grisham,by John Grisham,Dell,0,,"A laid-off lawyer, in a bid to reclaim her corporate perch, moves to an Appalachian mining town where her legal-aid work starts to rile Big Coal."
WHEN BREATH BECOMES AIR,Paul Kalanithi,by Paul Kalanithi,Random House,0,,A memoir by a physician who received a diagnosis of Stage IV lung cancer at the age of 36.
MIRACLES FROM HEAVEN,Christy Wilson Beam,by Christy Wilson Beam,Hachette,0,,"A mother tells the story of her once-sickly daughter, whose chronic ailments disappeared after a near-death experience."
SEVEN BRIEF LESSONS ON PHYSICS,Carlo Rovelli,by Carlo Rovelli,Riverhead,0,,An introduction to modern physics.
DEAD WAKE,Erik Larson,by Erik Larson,Crown,0,,"The last voyage of the Lusitania, the passenger liner sunk by a German torpedo in 1915; by the author of “The Devil in the White City.”"
FROZEN IN TIME,Mitchell Zuckoff,by Mitchell Zuckoff,Harper,0,,"An account both of airmen’s fight for survival in the Arctic after a 1942 crash, and of a 2012 expedition to Greenland to find the remains of a plane that crashed in a rescue attempt."
ALEXANDER HAMILTON,Ron Chernow,by Ron Chernow,Penguin,0,,"A biography of the first Treasury secretary, a major author of the Federalist Papers and an advocate of strong central government.  Originally published in 2004 and the basis of the Broadway musical."
SMARTER FASTER BETTER,Charles Duhigg,by Charles Duhigg,Random House,0,,"The science of productivity, from the author of “The Power of Habit.”"
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates,by Ta-Nehisi Coates,Spiegel & Grau,0,,A meditation on race in America by The Atlantic's national correspondent; a National Book Award winner.
THE BOYS IN THE BOAT,Daniel James Brown,by Daniel James Brown,Penguin,0,,The University of Washington’s eight-oar crew and their quest for gold at the 1936 Berlin Olympics.
DARK MONEY,Jane Mayer,by Jane Mayer,Doubleday,0,,An account of how the Koch brothers and other super-wealthy donors deployed their money to change American politics.
ROSEMARY,Kate Clifford Larson,by Kate Clifford Larson,Houghton Mifflin Harcourt,0,,The tragic story of the Kennedys’ intellectually disabled oldest daughter.
THE IMMORTAL IRISHMAN,Timothy Egan,by Timothy Egan,Houghton Mifflin Harcourt,0,,"The life of Thomas Francis Meagher, an Irish revolutionary who fled to America and was active in Irish-American politics, becoming the general of New York’s Irish Brigade during the Civil War."
THE BIG SHORT,Michael Lewis,by Michael Lewis,Norton,0,,The people who saw the real estate crash coming and made billions. Originally published in 2010 and a 2015 movie.
BEING MORTAL,Atul Gawande,by Atul Gawande,Metropolitan/Holt,0,,"The surgeon and New Yorker writer considers how doctors fail patients at the end of life, and how they can do better."
THE SLEEPWALKERS,Christopher Clark,by Christopher Clark,Harper,0,,"A Cambridge professor's  evenhanded account of the polarization of Europe, leading up to World War I. One of the Book Review's 10 Best Books of 2013."
H IS FOR HAWK,Helen Macdonald,by Helen Macdonald,Grove,0,,"A grief-stricken British woman decides to raise a goshawk, a fierce bird that is notoriously difficult to tame."
I AM MALALA,Malala Yousafzai with Christina Lamb,by Malala Yousafzai with Christina Lamb,"Little, Brown",0,,The Nobel Peace Prize winner and teenage activist recounts her path to learning.
THE NAME OF GOD IS MERCY,Pope Francis with Andrea Tornielli,by Pope Francis with Andrea Tornielli,Random House,0,,"In a conversation with a Vatican reporter, the pontiff explores the cornerstone of his faith."
NOTES FROM A SMALL ISLAND,Bill Bryson,by Bill Bryson,HarperCollins,0,,An affectionate and irreverent walking tour of Britain; originally published in 1996.
THE BOY WHO HARNESSED THE WIND,William Kamkwamba and Bryan Mealer,by William Kamkwamba and Bryan Mealer,Morrow,0,,"The story of an African teenager who built a windmill from scraps, bringing electricity to his community. Originally published in 2009."
FOOL ME ONCE,Harlan Coben,by Harlan Coben,Dutton,0,,A retired Army helicopter pilot faces combat-related nightmares and mysteries concerning the deaths of her husband and sister.
PRIVATE PARIS,James Patterson and Mark Sullivan,by James Patterson and Mark Sullivan,"Little, Brown",0,,"Jack Morgan, the head of the Private global investigative agency, probes the murders of members of the French cultural elite."
THE NEST,Cynthia D'Aprix Sweeney,by Cynthia D'Aprix Sweeney,Ecco/HarperCollins,0,,Siblings in a dysfunctional New York family must grapple with a reduced inheritance.
ME BEFORE YOU,Jojo Moyes,by Jojo Moyes,Penguin,0,,"A woman who has barely been beyond her English village finds herself while caring for a wealthy, embittered quadriplegic."
PROPERTY OF A NOBLEWOMAN,Danielle Steel,by Danielle Steel,Delacorte,0,,Two New Yorkers searching for the owner of an abandoned safe-deposit box reconstruct the history of a young woman and a forbidden love affair at the time of World War II.
THE NIGHTINGALE,Kristin Hannah,by Kristin Hannah,St. Martin's,0,,"Two sisters are separated in World War II France: one in the countryside, the other in Paris."
THE SUMMER BEFORE THE WAR,Helen Simonson,by Helen Simonson,Random House,0,,"Life in Sussex, England, at the beginning of World War I."
THE GUILTY,David Baldacci,by David Baldacci,Grand Central,0,,The government hit man Will Robie investigates murder charges against his estranged father in their Mississippi hometown.
THE WEDDING DRESS,Rachel Hauck,by Rachel Hauck,Thomas Nelson,0,,"With her own wedding approaching, Charlotte pieces together the history of a vintage gown she finds."
THE WEDDING,Nicholas Sparks,by Nicholas Sparks,Grand Central,0,,A regretful careerist seeks to make amends.
THE GIRL ON THE TRAIN,Paula Hawkins,by Paula Hawkins,Riverhead,0,,A psychological thriller set in the environs of London is full of complications and betrayals.
THE THIRD GATE,Lincoln Child,by Lincoln Child,Anchor,0,,"Professor Jeremy Logan, an “enigmalogist,” is called to Egypt to help make sense of peculiar happenings at a pharaoh’s newly discovered tomb."
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,by Anthony Doerr,Scribner,0,,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.
THE LIAR,Nora Roberts,by Nora Roberts,Putnam,0,,A woman returning to her hometown discovers that her husband was a fraud who implicated her in his deceptions.
OFF THE GRID,C J Box,by C. J. Box,Putnam,0,,The 16th Joe Pickett novel features Nate Romanowski and a search for a domestic terror cell.
HEARTBREAKER,Linda Howard,by Linda Howard,Avon Impulse,0,,"When a woman inherits a cattle ranch, it comes saddled with a former love next door."
ROOM,Emma Donoghue,by Emma Donoghue,"Little, Brown",0,,The  world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held. The basis of the movie.
MEMORY MAN,David Baldacci,by David Baldacci,Grand Central,0,,A police detective uses his extraordinary memory when tackling the case of his family's murder.
A MAN CALLED OVE,Fredrik Backman,by Fredrik Backman,Washington Square Press,0,,"An angry old curmudgeon gets new next-door neighbors, and things are about to change for all of them."
THE MARTIAN,Andy Weir,by Andy Weir,Crown,0,,"Separated from his crew, an astronaut embarks on a quest to stay alive on Mars. The basis of the movie."
