"team","week","yardage_type","yards","offset","offset2","outcome"
"nfl-det",12,"passing",205,101,1,"loss"
"nfl-det",11,"rushing",108,0,-1,"win"
"nfl-det",11,"passing",322,108,1,"win"
"nfl-det",10,"rushing",109,0,-1,"win"
"nfl-det",10,"passing",266,109,1,"win"
"nfl-det",9,"rushing",45,0,-1,"win"
"nfl-det",9,"passing",242,45,1,"win"
"nfl-det",8,"rushing",81,0,-1,"loss"
"nfl-det",8,"passing",195,81,1,"loss"
"nfl-det",7,"rushing",77,0,-1,"loss"
"nfl-det",7,"passing",197,77,1,"loss"
"nfl-det",6,"rushing",155,0,-1,"win"
"nfl-det",6,"passing",391,155,1,"win"
"nfl-det",5,"rushing",56,0,-1,"loss"
"nfl-det",5,"passing",379,56,1,"loss"
"nfl-det",4,"rushing",53,0,-1,"loss"
"nfl-det",4,"passing",203,53,1,"loss"
"nfl-det",3,"rushing",28,0,-1,"loss"
"nfl-det",3,"passing",262,28,1,"loss"
"nfl-det",2,"rushing",38,0,-1,"loss"
"nfl-det",2,"passing",285,38,1,"loss"
"nfl-det",1,"rushing",69,0,-1,"loss"
"nfl-det",1,"passing",233,69,1,"loss"
"nfl-gb",16,"rushing",76,0,-1,"loss"
"nfl-gb",16,"passing",274,76,1,"loss"
"nfl-gb",15,"rushing",101,0,-1,"loss"
"nfl-gb",15,"passing",77,101,1,"loss"
"nfl-gb",14,"rushing",103,0,-1,"win"
"nfl-gb",14,"passing",190,103,1,"win"
"nfl-gb",13,"rushing",230,0,-1,"win"
"nfl-gb",13,"passing",205,230,1,"win"
"nfl-gb",12,"rushing",67,0,-1,"win"
"nfl-gb",12,"passing",246,67,1,"win"
"nfl-gb",11,"rushing",177,0,-1,"loss"
"nfl-gb",11,"passing",188,177,1,"loss"
"nfl-gb",10,"rushing",124,0,-1,"win"
"nfl-gb",10,"passing",196,124,1,"win"
"nfl-gb",9,"rushing",47,0,-1,"loss"
"nfl-gb",9,"passing",325,47,1,"loss"
"nfl-gb",8,"rushing",71,0,-1,"loss"
"nfl-gb",8,"passing",331,71,1,"loss"
