"city","time","temp"
"Fort Worth",90,67.18
"Fort Worth",93,61.56
"Fort Worth",96,60.4
"Fort Worth",99,65.44
"Fort Worth",102,67.7
"Fort Worth",105,66.63
"Fort Worth",108,59.43
"Fort Worth",111,54.21
"Fort Worth",114,53.27
"Fort Worth",117,56.28
"Charlotte",0,54.07
"Charlotte",3,62.15
"Charlotte",6,64.49
"Charlotte",9,56.59
"Charlotte",12,49.44
"Charlotte",15,42.94
"Charlotte",18,39.67
"Charlotte",21,38.59
"Charlotte",24,51.35
"Charlotte",27,59.11
"Charlotte",30,62.76
"Charlotte",33,57.09
"Charlotte",36,48.72
"Charlotte",39,46.51
"Charlotte",42,42.67
"Charlotte",45,37.18
"Charlotte",48,50.29
"Charlotte",51,56.57
"Charlotte",54,58.82
"Charlotte",57,48.39
"Charlotte",60,40.15
"Charlotte",63,35.99
"Charlotte",66,34.74
"Charlotte",69,33.24
"Charlotte",72,52.23
"Charlotte",75,59.93
"Charlotte",78,63.19
"Charlotte",81,53.75
"Charlotte",84,47.1
"Charlotte",87,44.26
"Charlotte",90,47.47
"Charlotte",93,43.56
"Charlotte",96,59.95
"Charlotte",99,69.63
"Charlotte",102,72.74
"Charlotte",105,64.92
"Charlotte",108,58.84
"Charlotte",111,59.25
"Charlotte",114,57.82
"Charlotte",117,57.36
"Detroit",0,29.39
"Detroit",3,34.54
"Detroit",6,35.24
"Detroit",9,21.58
"Detroit",12,13.91
"Detroit",15,14.29
"Detroit",18,21.07
"Detroit",21,24.08
"Detroit",24,31.73
"Detroit",27,34.32
"Detroit",30,35.49
"Detroit",33,33.17
"Detroit",36,28.11
"Detroit",39,25.36
"Detroit",42,15.48
"Detroit",45,10.33
"Detroit",48,28.67
"Detroit",51,33.24
"Detroit",54,33.8
"Detroit",57,29.31
"Detroit",60,32.23
"Detroit",63,35.99
"Detroit",66,36.54
"Detroit",69,36.79
"Detroit",72,39.09
"Detroit",75,41.44
"Detroit",78,42.62
"Detroit",81,38.23
"Detroit",84,38.73
"Detroit",87,40.62
"Detroit",90,39.05
"Detroit",93,40.14
"Detroit",96,44.38
"Detroit",99,50.1
"Detroit",102,53.03
"Detroit",105,52.54
"Detroit",108,52.45
"Detroit",111,51.87
"Detroit",114,50.62
"Detroit",117,48.9
"El Paso",0,55.33
"El Paso",3,77.54
"El Paso",6,83.26
"El Paso",9,81.52
"El Paso",12,62.37
"El Paso",15,54.07
"El Paso",18,51.19
"El Paso",21,50.7
"El Paso",24,55.8
"El Paso",27,75.18
"El Paso",30,79.05
"El Paso",33,76.41
"El Paso",36,65.34
"El Paso",39,58.3
"El Paso",42,52.21
"El Paso",45,47.14
"El Paso",48,53.71
"El Paso",51,68.59
"El Paso",54,72.81
"El Paso",57,72.46
"El Paso",60,64.99
"El Paso",63,58.67
"El Paso",66,52.43
"El Paso",69,47.14
"El Paso",72,48.86
"El Paso",75,59.3
"El Paso",78,64.81
"El Paso",81,63.56
"El Paso",84,57.59
"El Paso",87,48.94
"El Paso",90,44.14
"El Paso",93,39.96
"El Paso",96,42.58
"El Paso",99,53.07
"El Paso",102,57.48
"El Paso",105,56.55
"El Paso",108,49.08
"El Paso",111,47.46
"El Paso",114,43.1
"El Paso",117,41.07
"Seattle",0,42.75
"Seattle",3,51.12
"Seattle",6,49.91
"Seattle",9,51.33
"Seattle",12,49.71
"Seattle",15,47.37
"Seattle",18,45.84
"Seattle",21,47.52
"Seattle",24,46.6
"Seattle",27,50.56
"Seattle",30,55.83
"Seattle",33,54.81
"Seattle",36,49.26
"Seattle",39,51.35
"Seattle",42,50.97
"Seattle",45,48.54
"Seattle",48,46.85
"Seattle",51,46.98
"Seattle",54,47.37
"Seattle",57,48.25
"Seattle",60,46.81
"Seattle",63,42.47
"Seattle",66,41.18
"Seattle",69,41.79
"Seattle",72,42.02
"Seattle",75,46.39
"Seattle",78,50.27
"Seattle",81,49.66
"Seattle",84,45.71
"Seattle",87,45.03
"Seattle",90,42.97
"Seattle",93,42.53
"Seattle",96,40.96
"Seattle",99,46.18
"Seattle",102,48.71
"Seattle",105,44.67
"Seattle",108,41.97
"Seattle",111,41.43
"Seattle",114,43.42
"Seattle",117,43.32
"Denver",0,33.96
"Denver",3,51.96
"Denver",6,52.52
"Denver",9,49.75
"Denver",12,37.11
"Denver",15,30.72
"Denver",18,31.26
"Denver",21,30.69
"Denver",24,35.98
"Denver",27,55.78
"Denver",30,58.93
"Denver",33,55.2
"Denver",36,46.56
"Denver",39,40.05
"Denver",42,32.74
"Denver",45,29.52
"Denver",48,37.89
"Denver",51,56.75
"Denver",54,59.25
"Denver",57,54.15
"Denver",60,43.39
"Denver",63,33.92
"Denver",66,31.19
"Denver",69,34.41
"Denver",72,39.14
"Denver",75,45.8
"Denver",78,37.99
"Denver",81,36.52
"Denver",84,32.07
"Denver",87,30.81
"Denver",90,30.64
"Denver",93,28.22
"Denver",96,30.7
"Denver",99,35.52
"Denver",102,37.68
